Month,Date,AIXAPAR,APPLE,BID,BUGTRAQ,CERTVN,CISCO,CONFIRM,DEBIAN,FEDORA,FULLDISC,GENTOO,HP,JVN,MISC,MLIST,MS,REDHAT,SECTRACK,SECUNIA,SUSE,XF
1,Jan,0,0,1,2,1,0,10,0,6,0,0,10,1,40,0,6,0,0,0,4,0
2,Feb,0,0,2,4,5,12,8,0,1,0,0,0,6,3,1,0,0,0,0,34,1
3,Mar,4,6,0,0,4,7,20,2,4,0,0,0,11,5,1,0,0,0,0,13,0
4,Apr,0,2,0,1,6,15,56,2,2,0,0,0,3,3,1,0,0,3,0,21,0
5,May,3,0,0,1,1,21,13,1,0,0,0,0,2,0,0,0,2,0,0,0,0
6,Jun,4,0,0,7,1,32,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0
7,Jul,2,1,0,5,0,3,12,0,1,0,0,0,0,2,0,0,0,0,0,11,0
8,Aug,0,0,25,6,0,0,2,0,0,1,0,0,0,0,0,5,2,0,0,2,0
9,Sep,4,0,17,3,0,46,2,0,1,0,0,0,1,20,1,0,0,8,0,7,0
10,Oct,0,0,13,0,0,26,8,1,1,0,0,0,0,6,0,0,2,12,4,1,0
11,Nov,2,0,1,0,0,22,11,0,1,0,7,0,1,3,1,0,1,2,0,2,0
12,Dec,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0