date,Arsenal,Tottenham,Chelsea,ManchesterUtd,ManchesterCity,Liverpool,Southampton,Swansea,Stoke City,Crystal Palace,Everton,West Ham,West Brom,Leicester City,Newcastle Utd,Sunderland,Aston Villa,Hull City,Burnley,QPR
20140816,3,6,1,15,2,4,13,5,17,14,9,16,11,12,20,10,7,8,19,18
20140824,5,1,3,13,2,9,14,4,15,18,10,8,12,16,17,11,7,6,19,20
20140831,7,6,1,14,4,5,8,2,10,19,17,11,18,16,15,13,3,9,20,12
20140913,7,6,1,9,5,8,4,3,14,17,11,13,19,12,20,15,2,10,18,16
20140921,4,9,1,12,6,11,2,5,13,15,14,8,10,7,20,17,3,10,19,18
20140927,4,8,1,7,3,14,2,5,11,9,15,13,14,12,19,17,6,16,20,18
20141004,8,6,1,4,2,9,3,5,16,15,17,7,14,12,18,13,10,11,19,20
20141018,7,9,1,6,2,5,3,8,10,16,13,4,13,15,18,17,12,11,19,20
20141025,5,11,1,8,3,7,2,6,12,16,9,4,11,17,14,18,15,10,20,19
20141102,4,8,1,10,3,7,2,6,13,17,9,5,13,18,12,15,16,14,20,19
20141108,6,12,1,7,3,11,2,5,9,17,10,4,13,18,8,14,16,15,20,19
20141122,8,10,1,4,3,12,2,7,11,15,9,6,15,18,5,14,16,17,19,20
20141130,6,7,1,4,2,11,3,8,12,14,10,5,16,20,9,13,16,17,19,18
20141203,6,10,1,4,2,8,3,7,13,15,11,5,16,20,9,14,12,17,18,19
20141206,6,10,1,3,2,9,5,8,13,15,12,4,14,20,7,14,11,18,19,17
20141213,6,7,1,3,2,11,5,9,12,16,10,4,15,20,8,15,13,19,17,18
20141220,6,7,1,3,2,10,5,8,13,17,11,4,15,20,9,14,12,19,18,16
20141226,6,7,1,3,2,9,4,8,11,18,12,5,16,20,10,14,13,17,19,16
20141228,5,7,1,3,2,8,4,9,11,18,12,6,17,20,10,14,13,17,19,15
20150101,6,5,2,3,1,8,4,9,11,18,13,7,14,20,10,14,12,15,19,16
20150110,5,6,1,4,2,8,3,9,11,15,12,7,14,20,10,16,13,18,17,19
20150118,5,6,1,4,2,8,3,9,10,13,12,7,15,20,11,16,15,18,17,19
20150131,5,6,1,3,2,7,4,9,10,13,12,8,15,20,11,14,16,18,17,19
20150207,6,5,1,4,2,7,3,9,10,13,12,8,14,20,11,14,16,18,17,19
20150211,5,6,1,3,2,7,4,9,10,13,12,8,14,20,11,15,18,16,19,17
20150221,3,7,1,4,2,6,5,9,10,13,12,8,13,20,11,16,19,15,18,17
20150301,3,6,1,4,2,5,7,8,10,12,14,9,13,20,11,16,19,15,18,17
20150304,3,6,1,4,2,5,7,9,8,12,14,10,13,20,11,16,17,15,19,18
20150314,3,7,1,4,2,5,6,9,8,12,14,10,14,20,11,17,16,15,18,19
20150321,3,7,1,4,2,5,6,8,10,11,13,9,14,20,12,17,16,15,18,19
20150406,2,6,1,3,4,5,7,8,10,11,12,9,14,20,13,15,17,16,18,19
20150412,2,7,1,3,4,5,6,8,10,11,12,9,13,20,13,16,15,17,18,19
20150419,2,6,1,3,4,5,7,8,9,11,12,10,13,18,14,17,15,16,20,19
20150425,2,6,1,4,3,5,7,8,9,12,10,11,13,17,14,18,16,15,20,19
20150503,2,6,1,4,3,5,7,8,10,12,11,9,13,16,15,18,14,17,20,19
20150510,3,6,1,4,2,5,7,8,9,12,11,10,13,15,17,16,14,18,19,20
20150517,3,6,1,4,2,5,7,8,9,12,10,11,13,14,17,15,16,18,19,20
20150524,3,5,1,4,2,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20